index,Time frequency,Unit of measure,Transport coverage,Geopolitical entity (reporting),Time,value
47,Annual,Millions of passenger-kilometres,Total transport,BELGIUM,2022,
59,Annual,Millions of passenger-kilometres,Total transport,BULGARIA,2022,1600.0
71,Annual,Millions of passenger-kilometres,Total transport,CZECHIA,2022,9394.0
83,Annual,Millions of passenger-kilometres,Total transport,DENMARK,2022,6376.0
95,Annual,Millions of passenger-kilometres,Total transport,GERMANY,2022,92313.0
107,Annual,Millions of passenger-kilometres,Total transport,ESTONIA,2022,382.0
119,Annual,Millions of passenger-kilometres,Total transport,IRELAND,2022,1748.0
131,Annual,Millions of passenger-kilometres,Total transport,GREECE,2022,1117.0
143,Annual,Millions of passenger-kilometres,Total transport,SPAIN,2022,27489.0
155,Annual,Millions of passenger-kilometres,Total transport,FRANCE,2022,102814.0
167,Annual,Millions of passenger-kilometres,Total transport,CROATIA,2022,812.0
179,Annual,Millions of passenger-kilometres,Total transport,ITALY,2022,46143.0
191,Annual,Millions of passenger-kilometres,Total transport,CYPRUS,2022,
203,Annual,Millions of passenger-kilometres,Total transport,LATVIA,2022,541.0
215,Annual,Millions of passenger-kilometres,Total transport,LITHUANIA,2022,382.0
227,Annual,Millions of passenger-kilometres,Total transport,LUXEMBOURG,2022,389.0
239,Annual,Millions of passenger-kilometres,Total transport,HUNGARY,2022,
251,Annual,Millions of passenger-kilometres,Total transport,MALTA,2022,
263,Annual,Millions of passenger-kilometres,Total transport,NETHERLANDS,2022,
275,Annual,Millions of passenger-kilometres,Total transport,AUSTRIA,2022,12371.0
287,Annual,Millions of passenger-kilometres,Total transport,POLAND,2022,23646.0
299,Annual,Millions of passenger-kilometres,Total transport,PORTUGAL,2022,4419.0
311,Annual,Millions of passenger-kilometres,Total transport,ROMANIA,2022,5616.0
323,Annual,Millions of passenger-kilometres,Total transport,SLOVENIA,2022,645.0
335,Annual,Millions of passenger-kilometres,Total transport,SLOVAKIA,2022,3168.0
347,Annual,Millions of passenger-kilometres,Total transport,FINLAND,2022,4572.0
359,Annual,Millions of passenger-kilometres,Total transport,SWEDEN,2022,12879.0
