country,train_val,year
BELGIUM,,2022
BULGARIA,1600.0,2022
CZECHIA,9394.0,2022
DENMARK,6376.0,2022
GERMANY,92313.0,2022
ESTONIA,382.0,2022
IRELAND,1748.0,2022
GREECE,1117.0,2022
SPAIN,27489.0,2022
FRANCE,102814.0,2022
CROATIA,812.0,2022
ITALY,46143.0,2022
CYPRUS,,2022
LATVIA,541.0,2022
LITHUANIA,382.0,2022
LUXEMBOURG,389.0,2022
HUNGARY,,2022
MALTA,,2022
NETHERLANDS,,2022
AUSTRIA,12371.0,2022
POLAND,23646.0,2022
PORTUGAL,4419.0,2022
ROMANIA,5616.0,2022
SLOVENIA,645.0,2022
SLOVAKIA,3168.0,2022
FINLAND,4572.0,2022
SWEDEN,12879.0,2022
